segmentid,sessionid,segmentindex,audiofilename,duration,proceedingsfile,transcriptionfile,matched,score,language,pos_start,pos_end,proceedings_text,transcription_text,missing_start_word,missing_end_word,wrong_match,wrong_language,low_quality
324979,482,456,Stortinget-20141204-095907_9002500_9028800,26.3,data/proceedings/2014-12-04_proceedings.txt,data/transcriptions/json/2014-12-04_transcription.json,1,0.7857142857142857,bm,19955,20021,"Taxi er en del av kollektivtrafikken, men det kreves løyve etter yrkestransportloven for å drive persontransport mot betaling. Altså: Benyttes det personbil, må man enten ha drosjeløyve eller løyve for transport av selskapsvogn. For trygghetens skyld kreves selvfølgelig at sjåføren i tillegg til førerkort også har kjøreseddel utstedt av politiet. Kjøreseddelen tildeles på bakgrunn av vurdering av vandel og framlagt helseattest, og lokalt kan det for",taxi er en del av kollektivtrafikken men det krever å løyve etter tra yrkestransportloven for å drive persontransport mot betaling altså benyttes til personbil må man enten har drosjeløyve eller løyver for transport av selskapsvang for trygghetens skyld krever selvfølgelig at sjåførene i tillegg til førerkort også har kjørt seg til utstedt av politiet kjøre selv en tildels på bakgrunn av vurdering av vandel og fremlagt helseattest og lokalt kan f det for trosj,,,,,
194430,287,156,stortinget-20121120-095511_2233200_2261500,28.3,data/proceedings/2012-11-20_proceedings.txt,data/transcriptions/json/2012-11-20_transcription.json,1,0.847457627118644,bm,3588,3646,"Vi kan sørge for nye digitale løsninger av personvennlige alternativer som innebygd førstevalg, f.eks. ved at det ikke etterspørres mer informasjon enn helt nødvendig. Ønsker den enkelte å gi tilleggsinformasjon, må han eller hun selv ta initiativ til det. I årsmeldingen for 2011 peker Datatilsynet på personvernutfordringer i offentlig informasjon. Offentliggjøring av skattelister er et eksempel på det.",vi kan sørge for at nye digitale løsninger har personvennlige alternativer som innebygde førstevalg for eksempel ved at det ikke etterspøres mer informasjon enn helt nødvendig ønsker den enkelte å gi tilleggsinformasjon med han eller hun sjøl tar initiativ til det president i årsmeldinga for totusenogelleve peker datatilsynet på personvernutfordringer i offentlig informasjon offentliggjøring av skattelister er et eksempel på det,,,,,
761286,1094,281,Stortinget-20210202-095512_7716100_7733700,17.6,data/proceedings/2021-02-02_proceedings.txt,data/transcriptions/json/2021-02-02_transcription.json,1,0.6075949367088608,bm,16038,16071,denne loven i veldig stor grad ei fullmaktslovgiving. Eg meiner ein har gått nye steg i retning av å gi fullmakter frå storting til regjering. Statsråden var jo sjølv inne på dette med,president eee som jeg var inne på min eee mitt innlegg så er denne loven i veldig store eee stor grad den fullmaktslovgivning jeg mener man har gått nye steg i den retning å gi fullmakter fra storting til regjering og statsråden var sjøl inne på dette med eee fiskeritillatelser,,,,,
449204,649,1073,Stortinget-20160616-095523_13968600_13991700,23.1,data/proceedings/2016-06-16_proceedings.txt,data/transcriptions/json/2016-06-16_transcription.json,1,0.9074074074074074,bm,32002,32055,"men ikke å framheve det hun burde i henhold til norsk politisk, humanistisk tradisjon ta ansvaret for, nemlig å snakke om at disse menneskene kommer fordi det er nød og fattigdom og død og fordervelse. Det er den vanskeligste situasjonen vi har, fordi vi har en integreringsminister som legger an en slik tone,",men ikke fremheve det hun burde i henhold til norsk politisk humanistisk tradisjon å ta ansvaret for nemlig å snakke om at disse menneskene kommer fordi det er nød og fattigdom og død og fordervelse og det er den vanskeligste situasjonen president vi har fordi vi har en integreringsminister som legger an et slikt tone,,,,,
745823,1078,40,Stortinget-20201204-085541_1242000_1270000,28.0,data/proceedings/2020-12-04_proceedings.txt,data/transcriptions/json/2020-12-04_transcription.json,1,0.8760330578512396,bm,2023,2082,"på over 2 mrd. kr. Når regningen gjøres opp nå, er det allikevel verdt å nevne at det altså ligger 290 mill. kr under den siste vedtatte kostnadsrammen, som ble fastsatt våren 2018. Evalueringsrapportens funn, konklusjoner og anbefalinger som er gjengitt i saken, er viktige og viser også at de tiltak som Stortingets presidentskap og administrasjon allerede har iverksatt",eee på over to milliarder president når regningen gjøres opp nå så er det allikevel verdt å betrakt verdt å nevne at det ligget altså to hundre og nitti millioner under den siste vedtatte kostnadsrammen som ble fastsatt våren tjueatten evalueringsrapportens funn konklusjoner og anbefalinger som er gjengitt i saken eee er viktige og viser også at de tiltak som stortingets presidentskap og administrasjon allerede har iverksatt,,,,,
566821,817,624,Stortinget-20180410-095617_8385400_8404300,18.9,data/proceedings/2018-04-10_proceedings.txt,data/transcriptions/json/2018-04-10_transcription.json,1,0.7472527472527473,bm,16543,16585,"kjøper disse apparatene til dem der de kan logge på forskjellige plattformer. Det viser viktigheten av å ivareta barns personvern. For et års tid siden ble vi kjent med at det var dokker til salgs i leketøysbutikker som barna kunne snakke med,",eee kjøper disse apparatene til de der vi logger på forskjellige plattformer og og viser det at eee viktigheten av at vi skal ivareta barns personvern for et års tid siden så blei vi kjent med at det var dokker til salgs i leketøybutikke som kunne s barna kunne snakke med,,,,,
427617,627,201,Stortinget-20160510-095601_5505400_5534900,29.5,data/proceedings/2016-05-10_proceedings.txt,data/transcriptions/json/2016-05-10_transcription.json,1,0.8072289156626506,bm,11650,11730,"Det kan tvert imot føre til at vi får skjulte kjeder og triksing, og med det resultat at kun store leverandører overlever. Venstre vil derfor legge inn forslag til skjerpede krav til sporbarhet i leverandørkjeden for å øke kontrollen med underleverandørene. Det finnes allerede gode tjenester på markedet, som bl.a. Oslo kommune er godt i gang med å teste ut. Det har også vært et for stort fokus på prissetting i offentlige anskaffelser. Det er viktig at man får kostnadskontroll",det kan tvert imot føre til at det har skjurte kjeder triksing og med det resultatet at kun store leverandører overleve venstre vil ve derfor legge inn forslag til å skjerpe krav til til sporbarhet i leverandørkjedene for å økt kontroll med underleverandørene det fins allerede gode tjenester på markedet som blant annet i oslo og kommune er godt i gang med å teste ut det har også vært eee får et stort fokus på prissetting i offentlige anskaffelser og det er viktig at man får en kostnadskontroll,,,,,
570429,822,509,Stortinget-20180424-095514_9005500_9022300,16.8,data/proceedings/2018-04-24_proceedings.txt,data/transcriptions/json/2018-04-24_transcription.json,1,0.704225352112676,bm,19516,19554,"omfanget av rolleblanding kan økes etter innføringen av fritt behandlingsvalg. Ifølge Riksrevisjonen er det fire av ti ledere på høyt nivå, altså direktør eller klinikksjef, som har meldepliktige bierverv, men det er bare 22 pst. av dem som",omfanget av rolleblanding også kan økes etter innføringa av fritt behandlingsvalg ifølge riksrevisjonen så er det altså fire av ti ledere på høyt nivå altså direktør eller klinikksjef klinikksjef som eee melder pliktige brverv,,,,,
703432,1008,203,Stortinget-20200316-095437_5677600_5704800,27.2,data/proceedings/2020-03-16_proceedings.txt,data/transcriptions/json/2020-03-16_transcription.json,1,0.896969696969697,bm,12049,12134,"Noe av det viktigste vi gjør nå, er å sikre og ta vare på dem som står i førstelinjen. Førstelinjen trer fram – fra helsepersonell til renholdere og butikkmedarbeidere, de som kjører trikk og bane, saksbehandlere hos Nav og byråkratene våre som har lagt fram det vi skal vedta her i dag. De fortjener stor takk og støtte i tiden framover. Takk også til partene i arbeidslivet og alle som har gitt innspill i helgen til arbeidet vi skal jobbe med. – Fortsett med det!",noe av det viktigste vi gjør nå er å sikre og ta vare på de som står i førstelinja og førstelinja trer fram fra helsepersonell til renholdere og butikkmedarbeidere de som kjører trikk og bane saksbehandler hos nav og byråkratene våre som har lagt fram det vi skal vedta her i dag de fortjener stor takk og støtte i tiden framover takk også til partene i arbeidslivet og alle som har gitt innspill over helgen med arbeidet eee vi skal eee jotsette med det,,,,,
530541,768,341,Stortinget-20171108-095511_8960500_8988700,28.2,data/proceedings/2017-11-08_proceedings.txt,data/transcriptions/json/2017-11-08_transcription.json,1,0.9032258064516128,bm,19362,19454,"Det er en politisk prioritering hvor listen skal ligge. Da minner jeg også om at det samme sier UDI-direktøren tydelig i et intervju til VG den 6. november. Han sier: «Tersklene for hva som skal til for at vi ikke kan returnere noen, er et politisk spørsmål. Det er i dag høy terskel for å få asyl, flyktningstatus eller opphold på humanitært grunnlag.» Forfang sier videre: «Norsk praksis har gjennom flere år gradvis gått i retning av at man legger seg på minstekravet mot de internasjonale konvensjonene. Vi er på riktig side,",det er en politisk prioritering hvor lista skal ligge og da minner jeg også om at det samme sier udidirektøren tydelig i et intervju i vg sjette november han sier terskelen for hva som skal til for at vi ikke kan returnere noen er et politisk spørsmål det er i dag høy terskel for å få asyl flyktningstatus eller opphold på humanitært grunnlag si forfang han sier videre norsk praksis har gjennom flere år gradvis gått i retning av at man legger seg på minstekravet mot dem internasjonale konvensjonene vi er på riktig side,,,,,
788532,1125,124,Stortinget-20210503-115507_3528400_3555500,27.1,data/proceedings/2021-05-03_proceedings.txt,data/transcriptions/json/2021-05-03_transcription.json,1,0.8823529411764706,bm,6609,6673,"Jeg tror grunnen til at representanten Wiborg og jeg formulerer oss litt forskjellig, er at vi i stor grad snakker om to forskjellige vedtak. Jeg antar at representanten Wiborg snakker om det forslaget som Fremskrittspartiet har fremmet, mens jeg primært har snakket om det vedtaket som ligger der. Jeg oppfatter det som et vedtak som først og fremst ønsker å se på språklig oppdatering",eee president eee jeg jeg tror grunnen til at representanten wiborg jeg formulerer oss litt forskjellig jeg fordi at vi i stor grad snakker om to forskjellige vedtak jeg antar at representanten wiborg snakker om det vedtaket som frp har fremmet mens jeg primært har snakket da om det vedtaket som ligger der eee nå nå og jeg oppfatter det som et vedtak som først og fremst eee ønsker å se på språklig oppdatering forenklingelverket ja,,,,,
